,Train Accuracy,Validation Accuracy,Train Binary Loss,Validation Binary Loss,Train Dice Loss,Validation Dice Loss,Train Dice Cofficent,Validation Dice Cofficent,Train Jaccard/IoU,Validation Jaccard/IoU
0,0.967778205871582,0.9663468599319458,0.12581390142440796,0.18778055906295776,0.40895935893058777,0.9979982376098633,0.5910406112670898,0.0020019831135869026,0.4422548711299896,0.001006212318316102
1,0.9755640029907227,0.9709486365318298,0.1497289538383484,0.2218829244375229,0.30520787835121155,0.3669183552265167,0.6947920322418213,0.6330816149711609,0.5414263010025024,0.47211676836013794
2,0.9762962460517883,0.9699686765670776,0.174198716878891,0.25394973158836365,0.28118038177490234,0.39070236682891846,0.7188192009925842,0.6092976331710815,0.5694200992584229,0.4479333460330963
3,0.9766697883605957,0.9681927561759949,0.195235475897789,0.30552688241004944,0.26678740978240967,0.41092222929000854,0.7332126498222351,0.5890774726867676,0.5866926312446594,0.42839547991752625
4,0.9768980741500854,0.9647371172904968,0.20946620404720306,0.3281947672367096,0.2582882046699524,0.4466284513473511,0.7417120933532715,0.5533715486526489,0.5968378186225891,0.3969702124595642
5,0.9771345257759094,0.9652552604675293,0.22247807681560516,0.37328749895095825,0.25023970007896423,0.43869322538375854,0.7497602105140686,0.5613069534301758,0.6071993112564087,0.40295466780662537
6,0.9772526621818542,0.9541847705841064,0.23153449594974518,0.42343783378601074,0.24473460018634796,0.48571741580963135,0.755265474319458,0.5142825841903687,0.6144304275512695,0.36364486813545227
7,0.9773703217506409,0.9512817859649658,0.24392575025558472,0.47873201966285706,0.24175921082496643,0.5192322134971619,0.7582412958145142,0.48076772689819336,0.6179682612419128,0.33250659704208374
8,0.9774481058120728,0.9683184623718262,0.254747211933136,0.32940417528152466,0.23889023065567017,0.4014874994754791,0.7611100673675537,0.5985125303268433,0.621877133846283,0.44129717350006104
9,0.9774710536003113,0.9683393239974976,0.2563786506652832,0.3360089361667633,0.23839974403381348,0.4000317454338074,0.7616002559661865,0.5999680757522583,0.6222275495529175,0.44007861614227295
