,Train Accuracy,Validation Accuracy,Train Binary Loss,Validation Binary Loss,Train Dice Loss,Validation Dice Loss,Train Dice Cofficent,Validation Dice Cofficent,Train Jaccard/IoU,Validation Jaccard/IoU
0,0.977001428604126,0.9740613102912903,0.23119129240512848,0.2233489751815796,0.22544367611408234,0.3207687735557556,0.7745562195777893,0.6792311668395996,0.6410772204399109,0.5210981965065002
1,0.9770172238349915,0.9736431241035461,0.22950300574302673,0.22879289090633392,0.222370907664299,0.3056592345237732,0.7776291966438293,0.6943406462669373,0.645163357257843,0.5356868505477905
2,0.9769837856292725,0.9735018014907837,0.23117564618587494,0.223518967628479,0.22032329440116882,0.32982775568962097,0.779676616191864,0.6701721549034119,0.6480762362480164,0.5102010369300842
3,0.976936936378479,0.9733752012252808,0.2327001690864563,0.22783537209033966,0.22525867819786072,0.34120628237724304,0.7747412919998169,0.6587936878204346,0.6410388350486755,0.4984922707080841
4,0.9770409464836121,0.9733695387840271,0.236783966422081,0.2332497388124466,0.22289493680000305,0.3231542408466339,0.7771048545837402,0.6768457293510437,0.6439107656478882,0.5159701704978943
5,0.9769281148910522,0.9735959768295288,0.24622663855552673,0.2630850374698639,0.22874067723751068,0.3154689371585846,0.7712593674659729,0.6845310926437378,0.6358834505081177,0.5249078273773193
6,0.9770738482475281,0.9734166264533997,0.2422337383031845,0.2958846390247345,0.22645440697669983,0.29952162504196167,0.7735456824302673,0.7004785537719727,0.6400623321533203,0.5437604188919067
7,0.9769955277442932,0.9717887043952942,0.23734502494335175,0.28660649061203003,0.224162295460701,0.3158857524394989,0.7758375406265259,0.6841143369674683,0.642683744430542,0.5243256688117981
8,0.9770321846008301,0.9718955159187317,0.24054032564163208,0.26807743310928345,0.2229551076889038,0.31908154487609863,0.7770450115203857,0.6809184551239014,0.6444538831710815,0.5190184116363525
9,0.9769626259803772,0.973686158657074,0.25692689418792725,0.2500267028808594,0.2227502167224884,0.3297208845615387,0.7772498726844788,0.6702792048454285,0.645236074924469,0.511236846446991
10,0.97700035572052,0.9739506244659424,0.26705479621887207,0.28705164790153503,0.22405411303043365,0.29405468702316284,0.7759460210800171,0.7059451937675476,0.6434289813041687,0.5494870543479919
11,0.9770110845565796,0.9729880690574646,0.2729778587818146,0.3471490442752838,0.2218780368566513,0.29486653208732605,0.7781220078468323,0.7051334977149963,0.6456959843635559,0.5484344363212585
12,0.9771274328231812,0.9721524715423584,0.267697274684906,0.3144570589065552,0.21999412775039673,0.3145265579223633,0.7800062298774719,0.6854734420776367,0.6486195921897888,0.5267130732536316
13,0.9769576787948608,0.9725136160850525,0.2730761468410492,0.2496912181377411,0.2216910421848297,0.3464856743812561,0.7783088684082031,0.6535142064094543,0.6466625928878784,0.4922999143600464
14,0.9771021008491516,0.973661482334137,0.278006374835968,0.2681347131729126,0.2209894061088562,0.3107903003692627,0.7790108919143677,0.6892096996307373,0.6467010974884033,0.531326949596405
15,0.9771561026573181,0.9738618731498718,0.29206112027168274,0.310503214597702,0.21589870750904083,0.3019151985645294,0.7841013073921204,0.6980847716331482,0.6552493572235107,0.5398700833320618
16,0.9771761894226074,0.9737424254417419,0.2880745530128479,0.31215742230415344,0.2164146602153778,0.2919021248817444,0.7835854291915894,0.7080979347229004,0.6540799736976624,0.5508508682250977
17,0.9772247672080994,0.9738682508468628,0.28216826915740967,0.2800352871417999,0.21350184082984924,0.29625463485717773,0.786497950553894,0.7037453651428223,0.6582418084144592,0.546917736530304
18,0.977171778678894,0.9728410243988037,0.28918197751045227,0.2896847724914551,0.21525469422340393,0.3153552711009979,0.7847452759742737,0.6846445798873901,0.6547409296035767,0.5242200493812561
19,0.977196991443634,0.9734278321266174,0.2827316224575043,0.2601150572299957,0.2150202840566635,0.32602694630622864,0.7849797606468201,0.6739730834960938,0.6551819443702698,0.5149452090263367
